Billing Period Start,Billing Period End,Property Key,Property Label,Job Count,Task Count,Bedrooms,Bathrooms,Quoted Client Price,Quoted Worker Price,Quote Start,Quote End,Source File
2026-03-30,2026-04-12,PROP-430CA5CF,Property 430CA5,2,0,2,1,59.50,40.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-B594FDA8,Property B594FD,3,0,2,1,52.50,40.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-85C040C1,Property 85C040,4,0,1,1,45.50,35.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-AA45D193,Property AA45D1,2,0,1,1,55.50,35.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-DAB50113,Property DAB501,2,0,2,2,59.50,45.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-01FBB1D1,Property 01FBB1,2,0,1,1,55.50,35.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-2E327A6F,Property 2E327A,3,0,2,1,52.50,40.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-43D9B9CC,Property 43D9B9,2,0,3,2,100.00,67.50,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-7BD057D4,Property 7BD057,7,0,2,1,66.50,40.00,2026-01-01,2026-07-23,properties_period_01.csv
2026-03-30,2026-04-12,PROP-BFCFD3F1,Property BFCFD3,2,1,1,1,55.50,35.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-507559B2,Property 507559,5,0,2,1,52.50,40.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-F52FE8B4,Property F52FE8,3,0,2,2,59.50,45.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-28A7A972,Property 28A7A9,3,0,2,1,52.50,40.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-61FE70F2,Property 61FE70,5,0,2,1,52.50,40.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-BED38869,Property BED388,1,0,1,1,52.50,35.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-15C4B2C1,Property 15C4B2,4,0,2,2,66.50,45.00,2026-01-01,,properties_period_01.csv
