Billing Period Start,Billing Period End,Work Item Key,Work Item Type,Service Date,Property Key,Client,Work Category,Worker Key,Default Worker Key,Assignment Overridden,Approved Client Price,Approved Worker Price,Cost,Business Income,Pricing Status,Price Approved At,Worker Price Overridden,Ready For Billing,No Payment,Public Holiday Flag,Source File
2026-03-30,2026-04-12,WI-0001,Job,2026-03-30,PROP-430CA5CF,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,59.50,40.00,0.00,19.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0002,Job,2026-03-30,PROP-B594FDA8,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0003,Job,2026-03-30,PROP-85C040C1,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,45.50,35.00,0.00,10.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0004,Job,2026-03-30,PROP-AA45D193,Client 2,Cleaning,WRK-2E535014,WRK-2E535014,false,55.50,35.00,0.00,20.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0005,Job,2026-03-30,PROP-DAB50113,Client 2,Cleaning,WRK-E7E0BC96,WRK-2E535014,true,59.50,45.00,0.00,14.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0006,Job,2026-03-30,PROP-01FBB1D1,Client 2,Key handling,WRK-2E535014,WRK-2E535014,false,55.50,35.00,0.00,20.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0007,Job,2026-03-30,PROP-2E327A6F,Client 2,Key handling,WRK-2E535014,WRK-2E535014,false,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0008,Job,2026-03-30,PROP-43D9B9CC,Client 2,Cleaning,WRK-E7E0BC96,WRK-2E535014,true,212.00,147.50,0.00,64.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0009,Job,2026-03-30,PROP-7BD057D4,Client 2,Cleaning,WRK-E7E0BC96,WRK-2E535014,true,66.50,40.00,0.00,26.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0010,Job,2026-03-31,PROP-BFCFD3F1,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,55.50,35.00,0.00,20.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0011,Job,2026-03-31,PROP-507559B2,Client 1,Inspection,WRK-DD63004A,WRK-DD63004A,false,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0012,Job,2026-04-01,PROP-F52FE8B4,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,59.50,45.00,0.00,14.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0013,Job,2026-04-01,PROP-28A7A972,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0014,Job,2026-04-01,PROP-61FE70F2,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0015,Job,2026-04-01,PROP-BED38869,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,52.50,35.00,0.00,17.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0016,Job,2026-04-01,PROP-15C4B2C1,Client 2,Cleaning,WRK-E7E0BC96,WRK-2E535014,true,66.50,45.00,0.00,21.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0017,Job,2026-04-01,PROP-7BD057D4,Client 2,Cleaning,WRK-E7E0BC96,WRK-2E535014,true,66.50,40.00,0.00,26.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0018,Job,2026-04-02,PROP-B594FDA8,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0019,Job,2026-04-02,PROP-85C040C1,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,45.50,35.00,0.00,10.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0020,Job,2026-04-02,PROP-258C656D,Client 2,Cleaning,WRK-2E535014,WRK-2E535014,false,62.50,40.00,0.00,22.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0021,Job,2026-04-02,PROP-2CAD9A11,Client 2,Cleaning,WRK-2E535014,WRK-2E535014,false,62.50,40.00,0.00,22.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0022,Job,2026-04-02,PROP-D1ADDF45,Client 2,Key handling,WRK-2E535014,WRK-2E535014,false,45.50,35.00,0.00,10.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0023,Job,2026-04-02,PROP-D98A0A34,Client 2,Cleaning,WRK-2E535014,WRK-2E535014,false,89.50,55.00,0.00,34.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0024,Job,2026-04-03,PROP-0231885B,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,93.75,40.00,0.00,53.75,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0025,Job,2026-04-03,PROP-16FD8C17,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,78.75,40.00,0.00,38.75,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0026,Job,2026-04-03,PROP-61FE70F2,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,78.75,40.00,0.00,38.75,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0027,Job,2026-04-03,PROP-7BD057D4,Client 2,Cleaning,WRK-E7E0BC96,WRK-2E535014,true,99.75,40.00,0.00,59.75,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0028,Job,2026-04-03,PROP-C498828E,Client 2,Cleaning,WRK-E7E0BC96,WRK-2E535014,true,104.25,45.00,0.00,59.25,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0029,Job,2026-04-03,PROP-15C4B2C1,Client 2,Cleaning,WRK-E7E0BC96,WRK-2E535014,true,99.75,45.00,0.00,54.75,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0030,Job,2026-04-04,PROP-28A7A972,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,78.75,40.00,0.00,38.75,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0031,Job,2026-04-04,PROP-85C040C1,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,68.25,35.00,0.00,33.25,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0032,Job,2026-04-04,PROP-D98A0A34,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,89.25,40.00,0.00,49.25,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0033,Job,2026-04-04,PROP-79B22870,Client 2,Key handling,WRK-99159EBC,WRK-2E535014,true,68.25,35.00,0.00,33.25,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0034,Job,2026-04-04,PROP-4CB595E7,Client 2,Cleaning,WRK-2E535014,WRK-2E535014,false,89.25,45.00,0.00,44.25,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0035,Job,2026-04-04,PROP-0D27E5AE,Client 2,Key handling,WRK-2E535014,WRK-2E535014,false,225.75,83.50,0.00,142.25,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0036,Job,2026-04-04,PROP-5CD4E94B,Client 2,Key handling,WRK-99159EBC,WRK-2E535014,true,89.25,35.00,0.00,54.25,quoted,,false,true,false,true,jobs_period_01.csv
